Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Less than 9th grade Estimate , Less than 9th grade Margin of error (MOE) , Less than 9th grade Percent of total , Less than 9th grade Percent of total margin of error (MOE) ," 9th to 12 Grade, no diploma Estimate "," 9th to 12 Grade, no diploma Margin of error (MOE) "," 9th to 12 Grade, no diploma Percent of total "," 9th to 12 Grade, no diploma Percent of total margin of error (MOE) ", High school graduate Estimate , High school graduate Margin of error (MOE) , High school graduate Percent of total , High school graduate Percent of total margin of error (MOE) ," Some college, no degree Estimate "," Some college, no degree Margin of error (MOE) "," Some college, no degree Percent of total "," Some college, no degree Percent of total margin of error (MOE) ", Associate's degree Estimate , Associate's degree Margin of error (MOE) , Associate's degree Percent of total , Associate's degree Percent of total margin of error (MOE) , Bachelor's degree Estimate , Bachelor's degree Margin of error (MOE) , Bachelor's degree Percent of total , Bachelor's degree Percent of total margin of error (MOE) , Graduate degree Estimate , Graduate degree Margin of error (MOE) , Graduate degree Percent of total , Graduate degree Percent of total margin of error (MOE) , High school or more Estimate , High school or more Margin of error (MOE) , High school or more Percent of total , High school or more Percent of total margin of error (MOE) , Bachelor's degree or more Estimate , Bachelor's degree or more Margin of error (MOE) , Bachelor's degree or more Percent of total , Bachelor's degree or more Percent of total margin of error (MOE) ,
244,NJ,New Jersey,1," 542,034 "," 6,191 "," 16,319 "," 2,754 ", 3.0 , 0.5 ," 31,520 "," 2,731 ", 5.8 , 0.5 ," 165,958 "," 5,841 ", 30.6 , 1.0 ," 123,582 "," 6,556 ", 22.8 , 1.1 ," 41,164 "," 3,478 ", 7.6 , 0.6 ," 107,091 "," 4,539 ", 19.8 , 0.8 ," 56,400 "," 4,034 ", 10.4 , 0.7 ," 494,195 "," 7,111 ", 91.2 , 0.7 ," 163,491 "," 5,856 ", 30.2 , 1.0 ,
245,NJ,New Jersey,2," 531,339 "," 6,456 "," 19,139 "," 3,004 ", 3.6 , 0.6 ," 35,455 "," 3,023 ", 6.7 , 0.6 ," 179,700 "," 6,493 ", 33.8 , 1.2 ," 111,411 "," 5,655 ", 21.0 , 1.0 ," 44,933 "," 3,348 ", 8.5 , 0.6 ," 92,001 "," 4,208 ", 17.3 , 0.7 ," 48,700 "," 3,533 ", 9.2 , 0.7 ," 476,745 "," 6,808 ", 89.7 , 0.7 ," 140,701 "," 5,348 ", 26.5 , 1.0 ,
246,NJ,New Jersey,3," 570,276 "," 5,881 "," 11,036 "," 1,569 ", 1.9 , 0.3 ," 28,728 "," 2,799 ", 5.0 , 0.5 ," 171,625 "," 5,905 ", 30.1 , 1.0 ," 125,890 "," 4,710 ", 22.1 , 0.8 ," 46,323 "," 3,024 ", 8.1 , 0.5 ," 124,314 "," 5,112 ", 21.8 , 0.9 ," 62,360 "," 3,378 ", 10.9 , 0.6 ," 530,512 "," 5,715 ", 93.0 , 0.5 ," 186,674 "," 5,805 ", 32.7 , 1.0 ,
247,NJ,New Jersey,4," 539,643 "," 8,273 "," 7,426 "," 1,739 ", 1.4 , 0.3 ," 22,922 "," 2,943 ", 4.2 , 0.5 ," 138,907 "," 5,880 ", 25.7 , 1.0 ," 101,856 "," 6,389 ", 18.9 , 1.1 ," 42,616 "," 3,218 ", 7.9 , 0.6 ," 146,774 "," 6,037 ", 27.2 , 1.0 ," 79,142 "," 4,049 ", 14.7 , 0.8 ," 509,295 "," 8,943 ", 94.4 , 0.6 ," 225,916 "," 6,670 ", 41.9 , 1.2 ,
248,NJ,New Jersey,5," 527,932 "," 8,667 "," 9,640 "," 1,697 ", 1.8 , 0.3 ," 18,646 "," 2,199 ", 3.5 , 0.4 ," 120,924 "," 5,463 ", 22.9 , 1.0 ," 95,213 "," 4,816 ", 18.0 , 0.8 ," 38,861 "," 3,646 ", 7.4 , 0.6 ," 156,892 "," 6,551 ", 29.7 , 1.1 ," 87,756 "," 4,805 ", 16.6 , 0.9 ," 499,646 "," 8,881 ", 94.6 , 0.5 ," 244,648 "," 7,353 ", 46.3 , 1.2 ,
249,NJ,New Jersey,6," 502,463 "," 7,651 "," 18,190 "," 2,310 ", 3.6 , 0.5 ," 27,793 "," 3,246 ", 5.5 , 0.6 ," 138,084 "," 5,391 ", 27.5 , 1.0 ," 112,318 "," 4,987 ", 22.4 , 0.9 ," 34,698 "," 2,764 ", 6.9 , 0.5 ," 110,548 "," 5,672 ", 22.0 , 1.1 ," 60,832 "," 3,760 ", 12.1 , 0.7 ," 456,480 "," 8,229 ", 90.8 , 0.7 ," 171,380 "," 6,716 ", 34.1 , 1.3 ,
250,NJ,New Jersey,7," 527,076 "," 9,094 "," 8,590 "," 1,270 ", 1.6 , 0.2 ," 18,428 "," 2,204 ", 3.5 , 0.4 ," 104,521 "," 5,935 ", 19.8 , 1.0 ," 88,756 "," 5,448 ", 16.8 , 1.0 ," 30,510 "," 3,026 ", 5.8 , 0.6 ," 160,373 "," 5,919 ", 30.4 , 1.1 ," 115,898 "," 5,518 ", 22.0 , 1.0 ," 500,058 "," 9,554 ", 94.9 , 0.5 ," 276,271 "," 7,384 ", 52.4 , 1.3 ,
251,NJ,New Jersey,8," 425,604 "," 11,139 "," 32,045 "," 3,727 ", 7.5 , 0.8 ," 30,291 "," 2,942 ", 7.1 , 0.7 ," 114,505 "," 6,188 ", 26.9 , 1.3 ," 75,754 "," 5,252 ", 17.8 , 1.1 ," 22,620 "," 2,517 ", 5.3 , 0.6 ," 98,333 "," 5,741 ", 23.1 , 1.1 ," 52,056 "," 3,664 ", 12.2 , 0.8 ," 363,268 "," 10,229 ", 85.4 , 0.9 ," 150,389 "," 7,141 ", 35.3 , 1.4 ,
252,NJ,New Jersey,9," 481,499 "," 11,594 "," 24,204 "," 2,647 ", 5.0 , 0.6 ," 28,993 "," 3,373 ", 6.0 , 0.7 ," 141,341 "," 7,503 ", 29.4 , 1.3 ," 97,275 "," 6,333 ", 20.2 , 1.1 ," 25,967 "," 2,723 ", 5.4 , 0.6 ," 113,494 "," 7,008 ", 23.6 , 1.4 ," 50,225 "," 3,767 ", 10.4 , 0.8 ," 428,302 "," 11,484 ", 89.0 , 0.9 ," 163,719 "," 7,625 ", 34.0 , 1.5 ,
253,NJ,New Jersey,10," 496,051 "," 9,959 "," 21,327 "," 3,070 ", 4.3 , 0.6 ," 36,289 "," 3,809 ", 7.3 , 0.7 ," 149,163 "," 7,360 ", 30.1 , 1.4 ," 109,164 "," 5,188 ", 22.0 , 1.0 ," 30,408 "," 2,567 ", 6.1 , 0.5 ," 99,333 "," 6,693 ", 20.0 , 1.2 ," 50,367 "," 3,437 ", 10.2 , 0.7 ," 438,435 "," 8,877 ", 88.4 , 0.9 ," 149,700 "," 8,045 ", 30.2 , 1.5 ,
254,NJ,New Jersey,11," 548,734 "," 8,988 "," 8,304 "," 1,197 ", 1.5 , 0.2 ," 17,079 "," 2,051 ", 3.1 , 0.4 ," 114,551 "," 5,883 ", 20.9 , 1.0 ," 81,464 "," 4,174 ", 14.8 , 0.7 ," 32,798 "," 2,890 ", 6.0 , 0.5 ," 173,542 "," 6,636 ", 31.6 , 1.0 ," 120,996 "," 4,792 ", 22.1 , 0.9 ," 523,351 "," 9,399 ", 95.4 , 0.4 ," 294,538 "," 7,671 ", 53.7 , 1.1 ,
255,NJ,New Jersey,12," 505,683 "," 9,993 "," 12,226 "," 2,219 ", 2.4 , 0.4 ," 25,121 "," 2,940 ", 5.0 , 0.6 ," 116,442 "," 6,395 ", 23.0 , 1.2 ," 94,601 "," 5,844 ", 18.7 , 1.0 ," 30,934 "," 2,947 ", 6.1 , 0.6 ," 131,616 "," 6,297 ", 26.0 , 1.1 ," 94,743 "," 3,803 ", 18.7 , 0.8 ," 468,336 "," 10,058 ", 92.6 , 0.7 ," 226,359 "," 7,428 ", 44.8 , 1.3 ,
256,NM,New Mexico,1," 514,775 "," 6,996 "," 14,575 "," 2,505 ", 2.8 , 0.5 ," 38,448 "," 3,951 ", 7.5 , 0.7 ," 123,565 "," 7,057 ", 24.0 , 1.2 ," 134,273 "," 5,737 ", 26.1 , 1.1 ," 37,779 "," 3,345 ", 7.3 , 0.7 ," 91,242 "," 4,569 ", 17.7 , 0.9 ," 74,893 "," 4,264 ", 14.5 , 0.9 ," 461,752 "," 6,651 ", 89.7 , 0.9 ," 166,135 "," 5,728 ", 32.3 , 1.2 ,
257,NM,New Mexico,2," 484,702 "," 6,155 "," 25,613 "," 2,874 ", 5.3 , 0.6 ," 50,753 "," 4,266 ", 10.5 , 0.9 ," 144,472 "," 6,878 ", 29.8 , 1.3 ," 130,910 "," 5,923 ", 27.0 , 1.2 ," 37,556 "," 3,679 ", 7.7 , 0.8 ," 59,184 "," 4,214 ", 12.2 , 0.9 ," 36,214 "," 3,148 ", 7.5 , 0.6 ," 408,336 "," 6,881 ", 84.2 , 0.9 ," 95,398 "," 5,492 ", 19.7 , 1.1 ,
258,NM,New Mexico,3," 507,907 "," 5,741 "," 16,244 "," 1,739 ", 3.2 , 0.3 ," 45,208 "," 3,316 ", 8.9 , 0.7 ," 138,477 "," 5,979 ", 27.3 , 1.1 ," 133,972 "," 5,349 ", 26.4 , 1.0 ," 44,223 "," 2,826 ", 8.7 , 0.6 ," 75,882 "," 4,285 ", 14.9 , 0.8 ," 53,901 "," 3,717 ", 10.6 , 0.7 ," 446,455 "," 6,473 ", 87.9 , 0.7 ," 129,783 "," 5,143 ", 25.6 , 0.9 ,
259,NY,New York,1," 530,436 "," 8,854 "," 11,716 "," 1,852 ", 2.2 , 0.4 ," 22,721 "," 3,263 ", 4.3 , 0.6 ," 146,227 "," 6,557 ", 27.6 , 1.1 ," 108,727 "," 5,503 ", 20.5 , 1.0 ," 54,503 "," 4,455 ", 10.3 , 0.8 ," 107,773 "," 6,454 ", 20.3 , 1.2 ," 78,769 "," 4,806 ", 14.8 , 0.9 ," 495,999 "," 9,231 ", 93.5 , 0.8 ," 186,542 "," 7,338 ", 35.2 , 1.3 ,
260,NY,New York,2," 515,987 "," 10,089 "," 14,938 "," 1,869 ", 2.9 , 0.4 ," 24,165 "," 2,555 ", 4.7 , 0.5 ," 163,159 "," 7,118 ", 31.6 , 1.3 ," 101,117 "," 5,176 ", 19.6 , 0.9 ," 48,398 "," 3,500 ", 9.4 , 0.7 ," 96,309 "," 4,901 ", 18.7 , 0.9 ," 67,901 "," 4,574 ", 13.2 , 0.8 ," 476,884 "," 9,947 ", 92.4 , 0.6 ," 164,210 "," 6,382 ", 31.8 , 1.0 ,
261,NY,New York,3," 521,235 "," 9,204 "," 12,083 "," 1,912 ", 2.3 , 0.4 ," 15,479 "," 2,411 ", 3.0 , 0.4 ," 92,304 "," 4,581 ", 17.7 , 0.8 ," 80,942 "," 5,600 ", 15.5 , 1.0 ," 38,732 "," 2,766 ", 7.4 , 0.5 ," 149,877 "," 5,120 ", 28.8 , 1.0 ," 131,818 "," 4,970 ", 25.3 , 0.9 ," 493,673 "," 8,615 ", 94.7 , 0.7 ," 281,695 "," 7,275 ", 54.0 , 1.3 ,
262,NY,New York,4," 506,457 "," 8,321 "," 14,448 "," 2,026 ", 2.9 , 0.4 ," 19,140 "," 2,517 ", 3.8 , 0.5 ," 119,211 "," 5,725 ", 23.5 , 1.0 ," 93,213 "," 4,983 ", 18.4 , 0.9 ," 41,524 "," 3,681 ", 8.2 , 0.7 ," 123,603 "," 5,961 ", 24.4 , 1.1 ," 95,318 "," 4,384 ", 18.8 , 0.9 ," 472,869 "," 8,656 ", 93.4 , 0.6 ," 218,921 "," 7,350 ", 43.2 , 1.3 ,
263,NY,New York,5," 501,784 "," 12,659 "," 30,580 "," 3,381 ", 6.1 , 0.6 ," 40,856 "," 3,649 ", 8.1 , 0.7 ," 140,344 "," 6,663 ", 28.0 , 1.1 ," 114,537 "," 6,009 ", 22.8 , 1.1 ," 40,504 "," 3,771 ", 8.1 , 0.7 ," 89,820 "," 5,116 ", 17.9 , 1.0 ," 45,143 "," 3,101 ", 9.0 , 0.6 ," 430,348 "," 11,075 ", 85.8 , 0.9 ," 134,963 "," 5,792 ", 26.9 , 1.1 ,
264,NY,New York,6," 448,065 "," 12,825 "," 22,673 "," 2,901 ", 5.1 , 0.6 ," 25,120 "," 2,873 ", 5.6 , 0.6 ," 100,527 "," 6,812 ", 22.4 , 1.3 ," 78,484 "," 4,904 ", 17.5 , 0.9 ," 40,118 "," 4,140 ", 9.0 , 0.9 ," 111,528 "," 5,958 ", 24.9 , 1.2 ," 69,615 "," 4,832 ", 15.5 , 1.1 ," 400,272 "," 12,047 ", 89.3 , 1.0 ," 181,143 "," 8,271 ", 40.4 , 1.6 ,
265,NY,New York,7," 446,196 "," 14,230 "," 41,149 "," 4,214 ", 9.2 , 0.8 ," 45,605 "," 4,200 ", 10.2 , 0.8 ," 99,671 "," 7,357 ", 22.3 , 1.4 ," 65,023 "," 5,052 ", 14.6 , 1.1 ," 22,128 "," 2,789 ", 5.0 , 0.6 ," 107,616 "," 6,021 ", 24.1 , 1.2 ," 65,004 "," 4,452 ", 14.6 , 1.0 ," 359,442 "," 11,120 ", 80.6 , 1.1 ," 172,620 "," 6,978 ", 38.7 , 1.4 ,
266,NY,New York,8," 540,660 "," 13,211 "," 27,000 "," 3,366 ", 5.0 , 0.6 ," 41,189 "," 3,634 ", 7.6 , 0.6 ," 156,102 "," 8,156 ", 28.9 , 1.1 ," 92,901 "," 5,545 ", 17.2 , 0.9 ," 36,933 "," 3,512 ", 6.8 , 0.6 ," 116,774 "," 5,418 ", 21.6 , 1.1 ," 69,761 "," 3,359 ", 12.9 , 0.6 ," 472,471 "," 12,238 ", 87.4 , 0.9 ," 186,535 "," 6,109 ", 34.5 , 1.2 ,
267,NY,New York,9," 486,880 "," 12,651 "," 22,883 "," 2,671 ", 4.7 , 0.5 ," 35,096 "," 3,535 ", 7.2 , 0.7 ," 118,321 "," 6,350 ", 24.3 , 1.1 ," 87,241 "," 5,437 ", 17.9 , 0.9 ," 29,969 "," 2,933 ", 6.2 , 0.6 ," 113,807 "," 5,819 ", 23.4 , 1.1 ," 79,563 "," 4,814 ", 16.3 , 1.0 ," 428,901 "," 11,281 ", 88.1 , 0.8 ," 193,370 "," 7,092 ", 39.7 , 1.2 ,
268,NY,New York,10," 473,542 "," 10,788 "," 19,000 "," 2,520 ", 4.0 , 0.5 ," 20,070 "," 2,557 ", 4.2 , 0.5 ," 71,311 "," 4,835 ", 15.1 , 0.9 ," 58,966 "," 4,958 ", 12.5 , 1.0 ," 17,104 "," 2,672 ", 3.6 , 0.5 ," 156,063 "," 7,182 ", 33.0 , 1.4 ," 131,028 "," 6,556 ", 27.7 , 1.3 ," 434,472 "," 10,610 ", 91.7 , 0.8 ," 287,091 "," 8,048 ", 60.6 , 1.3 ,
269,NY,New York,11," 500,998 "," 8,100 "," 23,412 "," 2,462 ", 4.7 , 0.5 ," 31,674 "," 3,262 ", 6.3 , 0.6 ," 146,260 "," 6,696 ", 29.2 , 1.3 ," 84,487 "," 4,912 ", 16.9 , 0.9 ," 33,972 "," 2,517 ", 6.8 , 0.5 ," 113,826 "," 5,737 ", 22.7 , 1.1 ," 67,367 "," 4,301 ", 13.4 , 0.8 ," 445,912 "," 8,653 ", 89.0 , 0.8 ," 181,193 "," 6,842 ", 36.2 , 1.2 ,
270,NY,New York,12," 530,252 "," 14,243 "," 9,944 "," 1,928 ", 1.9 , 0.4 ," 11,765 "," 2,067 ", 2.2 , 0.4 ," 58,965 "," 5,602 ", 11.1 , 1.0 ," 54,444 "," 5,098 ", 10.3 , 0.9 ," 18,603 "," 2,732 ", 3.5 , 0.5 ," 213,640 "," 8,931 ", 40.3 , 1.4 ," 162,891 "," 7,932 ", 30.7 , 1.3 ," 508,543 "," 13,564 ", 95.9 , 0.5 ," 376,531 "," 10,412 ", 71.0 , 1.2 ,
271,NY,New York,13," 505,003 "," 13,783 "," 45,480 "," 4,183 ", 9.0 , 0.8 ," 52,923 "," 4,871 ", 10.5 , 0.9 ," 116,625 "," 8,557 ", 23.1 , 1.5 ," 97,645 "," 6,394 ", 19.3 , 1.0 ," 27,711 "," 3,529 ", 5.5 , 0.7 ," 101,544 "," 6,046 ", 20.1 , 1.2 ," 63,075 "," 5,057 ", 12.5 , 1.0 ," 406,600 "," 11,914 ", 80.5 , 1.0 ," 164,619 "," 7,384 ", 32.6 , 1.4 ,
272,NY,New York,14," 392,398 "," 12,236 "," 28,934 "," 3,053 ", 7.4 , 0.8 ," 34,023 "," 3,590 ", 8.7 , 0.9 ," 103,936 "," 6,725 ", 26.5 , 1.4 ," 68,842 "," 4,718 ", 17.5 , 1.0 ," 38,092 "," 3,947 ", 9.7 , 0.9 ," 77,500 "," 4,435 ", 19.8 , 1.1 ," 41,071 "," 3,209 ", 10.5 , 0.8 ," 329,441 "," 11,480 ", 84.0 , 1.1 ," 118,571 "," 5,207 ", 30.2 , 1.2 ,
273,NY,New York,15," 410,819 "," 11,144 "," 43,443 "," 4,299 ", 10.6 , 1.1 ," 63,045 "," 4,668 ", 15.3 , 1.1 ," 120,551 "," 8,216 ", 29.3 , 1.7 ," 88,448 "," 6,030 ", 21.5 , 1.3 ," 35,746 "," 4,239 ", 8.7 , 1.0 ," 44,672 "," 4,676 ", 10.9 , 1.0 ," 14,914 "," 2,000 ", 3.6 , 0.5 ," 304,331 "," 12,133 ", 74.1 , 1.5 ," 59,586 "," 4,792 ", 14.5 , 1.1 ,
274,NY,New York,16," 498,243 "," 10,607 "," 22,025 "," 2,957 ", 4.4 , 0.6 ," 44,135 "," 4,120 ", 8.9 , 0.8 ," 110,388 "," 6,386 ", 22.2 , 1.2 ," 86,548 "," 6,246 ", 17.4 , 1.2 ," 35,996 "," 3,719 ", 7.2 , 0.7 ," 104,749 "," 6,166 ", 21.0 , 1.2 ," 94,402 "," 4,390 ", 18.9 , 0.8 ," 432,083 "," 9,839 ", 86.7 , 1.0 ," 199,151 "," 7,583 ", 40.0 , 1.4 ,
275,NY,New York,17," 502,861 "," 6,893 "," 15,011 "," 2,302 ", 3.0 , 0.5 ," 27,055 "," 3,015 ", 5.4 , 0.6 ," 103,228 "," 5,875 ", 20.5 , 1.1 ," 89,675 "," 5,113 ", 17.8 , 1.0 ," 31,641 "," 2,597 ", 6.3 , 0.5 ," 124,810 "," 6,002 ", 24.8 , 1.1 ," 111,441 "," 4,123 ", 22.2 , 0.8 ," 460,795 "," 7,670 ", 91.6 , 0.8 ," 236,251 "," 7,152 ", 47.0 , 1.2 ,
276,NY,New York,18," 524,373 "," 5,240 "," 13,184 "," 2,235 ", 2.5 , 0.4 ," 33,335 "," 3,554 ", 6.4 , 0.7 ," 138,460 "," 7,154 ", 26.4 , 1.3 ," 108,005 "," 5,907 ", 20.6 , 1.1 ," 54,987 "," 4,298 ", 10.5 , 0.8 ," 99,202 "," 4,254 ", 18.9 , 0.8 ," 77,200 "," 4,159 ", 14.7 , 0.8 ," 477,854 "," 5,841 ", 91.1 , 0.7 ," 176,402 "," 5,322 ", 33.6 , 1.0 ,
277,NY,New York,19," 553,713 "," 5,607 "," 12,382 "," 1,810 ", 2.2 , 0.3 ," 38,099 "," 3,046 ", 6.9 , 0.5 ," 180,308 "," 6,204 ", 32.6 , 1.1 ," 109,863 "," 4,438 ", 19.8 , 0.8 ," 61,407 "," 3,258 ", 11.1 , 0.6 ," 86,884 "," 4,231 ", 15.7 , 0.8 ," 64,770 "," 3,658 ", 11.7 , 0.7 ," 503,232 "," 6,111 ", 90.9 , 0.7 ," 151,654 "," 5,256 ", 27.4 , 0.9 ,
278,NY,New York,20," 557,251 "," 5,438 "," 11,855 "," 2,398 ", 2.1 , 0.4 ," 30,341 "," 2,998 ", 5.4 , 0.5 ," 144,020 "," 6,973 ", 25.8 , 1.2 ," 108,879 "," 5,072 ", 19.5 , 0.9 ," 64,695 "," 4,689 ", 11.6 , 0.8 ," 108,983 "," 5,054 ", 19.6 , 0.9 ," 88,478 "," 4,939 ", 15.9 , 0.9 ," 515,055 "," 6,750 ", 92.4 , 0.6 ," 197,461 "," 6,649 ", 35.4 , 1.1 ,
279,NY,New York,21," 551,303 "," 4,192 "," 16,698 "," 2,345 ", 3.0 , 0.4 ," 38,600 "," 3,175 ", 7.0 , 0.6 ," 194,736 "," 5,011 ", 35.3 , 0.9 ," 112,276 "," 4,901 ", 20.4 , 0.8 ," 63,520 "," 3,557 ", 11.5 , 0.6 ," 70,568 "," 3,218 ", 12.8 , 0.6 ," 54,905 "," 3,489 ", 10.0 , 0.6 ," 496,005 "," 5,642 ", 90.0 , 0.8 ," 125,473 "," 4,785 ", 22.8 , 0.9 ,
280,NY,New York,22," 539,437 "," 3,753 "," 14,642 "," 1,663 ", 2.7 , 0.3 ," 36,008 "," 3,000 ", 6.7 , 0.6 ," 179,578 "," 5,520 ", 33.3 , 1.0 ," 119,746 "," 4,114 ", 22.2 , 0.7 ," 65,355 "," 3,493 ", 12.1 , 0.6 ," 70,741 "," 3,805 ", 13.1 , 0.7 ," 53,367 "," 3,762 ", 9.9 , 0.7 ," 488,787 "," 4,458 ", 90.6 , 0.6 ," 124,108 "," 4,912 ", 23.0 , 0.9 ,
281,NY,New York,23," 544,564 "," 3,340 "," 18,587 "," 2,065 ", 3.4 , 0.4 ," 37,095 "," 3,381 ", 6.8 , 0.6 ," 179,495 "," 5,662 ", 33.0 , 1.0 ," 118,875 "," 3,997 ", 21.8 , 0.7 ," 63,438 "," 3,188 ", 11.6 , 0.6 ," 70,304 "," 3,587 ", 12.9 , 0.6 ," 56,770 "," 3,487 ", 10.4 , 0.6 ," 488,882 "," 5,115 ", 89.8 , 0.8 ," 127,074 "," 5,007 ", 23.3 , 0.9 ,
282,NY,New York,24," 539,797 "," 2,939 "," 11,763 "," 1,541 ", 2.2 , 0.3 ," 37,238 "," 3,379 ", 6.9 , 0.6 ," 158,002 "," 5,422 ", 29.3 , 1.0 ," 114,039 "," 4,331 ", 21.1 , 0.8 ," 63,677 "," 3,499 ", 11.8 , 0.6 ," 88,030 "," 3,799 ", 16.3 , 0.7 ," 67,048 "," 3,358 ", 12.4 , 0.6 ," 490,796 "," 4,349 ", 90.9 , 0.7 ," 155,078 "," 5,220 ", 28.7 , 0.9 ,
283,NY,New York,25," 543,698 "," 4,648 "," 14,162 "," 1,831 ", 2.6 , 0.3 ," 35,686 "," 3,108 ", 6.6 , 0.6 ," 126,748 "," 5,193 ", 23.3 , 0.9 ," 108,770 "," 4,164 ", 20.0 , 0.7 ," 59,614 "," 3,752 ", 11.0 , 0.7 ," 112,460 "," 4,379 ", 20.7 , 0.8 ," 86,258 "," 3,617 ", 15.9 , 0.7 ," 493,850 "," 5,140 ", 90.8 , 0.6 ," 198,718 "," 5,350 ", 36.5 , 1.0 ,
284,NY,New York,26," 539,694 "," 5,187 "," 14,560 "," 1,992 ", 2.7 , 0.4 ," 38,176 "," 3,421 ", 7.1 , 0.6 ," 146,000 "," 5,895 ", 27.1 , 1.0 ," 114,829 "," 5,238 ", 21.3 , 1.0 ," 57,892 "," 3,553 ", 10.7 , 0.6 ," 98,034 "," 4,747 ", 18.2 , 0.8 ," 70,203 "," 3,897 ", 13.0 , 0.7 ," 486,958 "," 6,623 ", 90.2 , 0.8 ," 168,237 "," 6,133 ", 31.2 , 1.1 ,
285,NY,New York,27," 564,383 "," 5,939 "," 8,541 "," 1,549 ", 1.5 , 0.3 ," 29,189 "," 2,830 ", 5.2 , 0.5 ," 170,217 "," 6,117 ", 30.2 , 1.0 ," 112,414 "," 4,604 ", 19.9 , 0.8 ," 77,305 "," 4,037 ", 13.7 , 0.7 ," 92,489 "," 4,645 ", 16.4 , 0.8 ," 74,228 "," 4,182 ", 13.2 , 0.8 ," 526,653 "," 6,260 ", 93.3 , 0.6 ," 166,717 "," 5,507 ", 29.5 , 1.0 ,
286,NC,North Carolina,1," 566,173 "," 6,735 "," 20,304 "," 2,524 ", 3.6 , 0.4 ," 51,413 "," 4,416 ", 9.1 , 0.8 ," 164,037 "," 6,864 ", 29.0 , 1.2 ," 132,054 "," 6,685 ", 23.3 , 1.1 ," 48,077 "," 3,062 ", 8.5 , 0.5 ," 91,176 "," 5,389 ", 16.1 , 0.9 ," 59,112 "," 3,845 ", 10.4 , 0.7 ," 494,456 "," 7,444 ", 87.3 , 0.8 ," 150,288 "," 6,703 ", 26.5 , 1.2 ,
287,NC,North Carolina,2," 601,142 "," 7,863 "," 10,786 "," 1,679 ", 1.8 , 0.3 ," 37,067 "," 3,201 ", 6.2 , 0.5 ," 145,278 "," 6,102 ", 24.2 , 1.0 ," 135,285 "," 6,528 ", 22.5 , 1.1 ," 63,189 "," 5,236 ", 10.5 , 0.9 ," 141,071 "," 6,407 ", 23.5 , 1.0 ," 68,466 "," 4,342 ", 11.4 , 0.7 ," 553,289 "," 8,094 ", 92.0 , 0.6 ," 209,537 "," 7,412 ", 34.9 , 1.2 ,
288,NC,North Carolina,3," 579,504 "," 4,996 "," 17,246 "," 2,516 ", 3.0 , 0.4 ," 43,953 "," 3,661 ", 7.6 , 0.6 ," 175,802 "," 5,407 ", 30.3 , 0.9 ," 152,531 "," 7,157 ", 26.3 , 1.2 ," 61,442 "," 3,914 ", 10.6 , 0.7 ," 85,929 "," 4,838 ", 14.8 , 0.8 ," 42,601 "," 3,160 ", 7.4 , 0.5 ," 518,305 "," 6,614 ", 89.4 , 0.7 ," 128,530 "," 5,920 ", 22.2 , 1.0 ,
289,NC,North Carolina,4," 624,834 "," 7,413 "," 7,044 "," 1,559 ", 1.1 , 0.2 ," 25,433 "," 3,689 ", 4.1 , 0.6 ," 93,039 "," 5,193 ", 14.9 , 0.8 ," 128,496 "," 7,222 ", 20.6 , 1.1 ," 43,302 "," 3,911 ", 6.9 , 0.6 ," 203,436 "," 7,326 ", 32.6 , 1.2 ," 124,084 "," 5,379 ", 19.9 , 0.8 ," 592,357 "," 8,221 ", 94.8 , 0.7 ," 327,520 "," 6,940 ", 52.4 , 1.1 ,
290,NC,North Carolina,5," 572,721 "," 3,131 "," 18,306 "," 1,995 ", 3.2 , 0.3 ," 51,302 "," 3,920 ", 9.0 , 0.7 ," 163,139 "," 6,406 ", 28.5 , 1.1 ," 143,164 "," 5,611 ", 25.0 , 1.0 ," 54,965 "," 3,946 ", 9.6 , 0.7 ," 93,622 "," 4,847 ", 16.3 , 0.8 ," 48,223 "," 3,554 ", 8.4 , 0.6 ," 503,113 "," 5,331 ", 87.8 , 0.8 ," 141,845 "," 6,132 ", 24.8 , 1.0 ,
291,NC,North Carolina,6," 567,392 "," 5,676 "," 17,938 "," 1,909 ", 3.2 , 0.3 ," 46,521 "," 4,007 ", 8.2 , 0.7 ," 162,821 "," 5,972 ", 28.7 , 1.0 ," 142,372 "," 5,585 ", 25.1 , 1.0 ," 61,424 "," 3,976 ", 10.8 , 0.7 ," 92,441 "," 5,877 ", 16.3 , 1.0 ," 43,875 "," 3,292 ", 7.7 , 0.6 ," 502,933 "," 6,547 ", 88.6 , 0.8 ," 136,316 "," 6,409 ", 24.0 , 1.1 ,
292,NC,North Carolina,7," 613,510 "," 5,769 "," 14,702 "," 2,222 ", 2.4 , 0.4 ," 49,951 "," 4,230 ", 8.1 , 0.7 ," 171,600 "," 6,800 ", 28.0 , 1.1 ," 157,945 "," 6,903 ", 25.7 , 1.1 ," 65,470 "," 5,267 ", 10.7 , 0.9 ," 104,727 "," 6,225 ", 17.1 , 1.0 ," 49,115 "," 3,566 ", 8.0 , 0.6 ," 548,857 "," 7,671 ", 89.5 , 0.9 ," 153,842 "," 7,457 ", 25.1 , 1.2 ,
